Category,Item,Description,Price
Fritta Knots,Garlic Parmesan Bites,"Savory fried dough knots finished with herbed garlic butter and parmesan, served with marinara. Impossible to stop at one.",6
Pizza Frittas,Original Cheese Fritta,"Herbed ricotta, mozzarella, and parmesan stuffed into golden fried dough. The one that started it all.",8
Pizza Frittas,Pepperoni Fritta,"Crispy pepperoni, melted cheese, and herbs sealed inside crispy fried dough. The proper way to serve pepperoni.",9
Dessert,Nutella Fritta,"Cream cheese and Nutella folded into warm fried dough. Rich, indulgent, and worth every bite.",9
Dessert,Cinnamon Sugar Bites,"Fried dough knots tossed in cinnamon sugar and served with vanilla icing. A taste of childhood.",6
Craft Sodas,Earl Grey Cream Pep,"Botanical, creamy, and lightly spiced. Tea-forward with a smooth finish.",6
Craft Sodas,Juniper Citrus,"Bright and refreshing with juniper and citrus. Clean and alive.",6
Craft Sodas,Caribbean Coffee Cola,"Coffee-forward with a hint of lime and molasses depth. Bold and unexpected.",6
